origin|carrier|num_flights|avg_dep_delay|avg_arr_delay|cancel_rate|avg_dep_airport|dep_diff|rank
CAE|OO|1087|4.6431|3.046|0.0046|8.9875|-4.3444|2
CAE|MQ|89|5.8202|2.6742|0.0|8.9875|-3.1673|3
CAE|9E|1863|6.6484|0.986|0.0166|8.9875|-2.3391|4
CAE|OH|3383|8.7884|7.6816|0.0095|8.9875|-0.1991|5
CAE|YX|505|13.2891|10.4812|0.0455|8.9875|4.3016|6
CAE|AA|1026|27.1696|23.653|0.0283|8.9875|18.1821|7
CAK|OH|2431|9.573|6.2875|0.007|13.519|-3.946|1
CAK|G4|1150|14.1157|7.9296|0.0165|13.519|0.5967|2
CAK|OO|1641|18.9464|16.716|0.0134|13.519|5.4274|3
CDC|OO|956|3.5105|-2.5492|0.0052|3.5105|0.0|1
CDV|AS|1120|-0.2527|-0.7911|0.0161|-0.2527|0.0|1
CHA|YX|209|2.9569|-0.5455|0.0|11.5659|-8.609|1
CHA|DL|1847|8.0731|-0.3319|0.006|11.5659|-3.4928|2
CHA|9E|2221|8.5948|2.6236|0.0045|11.5659|-2.9711|3
CHA|OH|2227|12.1172|8.2479|0.0108|11.5659|0.5513|4
CHA|OO|1387|12.6799|11.5588|0.0115|11.5659|1.114|5
CHA|MQ|1826|15.8105|11.8028|0.0137|11.5659|4.2446|6
CHA|G4|426|21.7207|17.2958|0.0352|11.5659|10.1548|7
CHO|OH|87|-3.5632|-2.8851|0.0|9.8876|-13.4508|1
CHO|9E|2656|8.965|1.872|0.026|9.8876|-0.9226|2
CHO|DL|375|9.0213|-2.0027|0.0|9.8876|-0.8663|3
CHO|YX|681|9.2408|9.7651|0.0206|9.8876|-0.6468|4
CHO|OO|954|14.4853|14.7642|0.0252|9.8876|4.5977|5
CHS|AS|511|4.135|-1.1859|0.0333|10.8718|-6.7368|1
CHS|YX|3431|4.6106|-0.311|0.0122|10.8718|-6.2612|2
CHS|WN|5292|7.7468|2.5242|0.0049|10.8718|-3.125|3
CHS|OH|2650|7.814|5.4672|0.0151|10.8718|-3.0578|4
CHS|UA|3289|8.4284|3.6373|0.0143|10.8718|-2.4434|5
CHS|MQ|1354|8.7149|4.3752|0.0133|10.8718|-2.1569|6
CHS|DL|5836|10.1265|4.5507|0.0053|10.8718|-0.7453|7
CHS|9E|2972|10.2746|3.8247|0.0373|10.8718|-0.5972|8
CHS|G4|294|12.4626|11.4218|0.0306|10.8718|1.5908|9
CHS|OO|541|14.7782|12.525|0.0111|10.8718|3.9064|10
CHS|AA|7309|15.4886|12.4418|0.0159|10.8718|4.6168|11
CHS|B6|2750|15.8225|11.12|0.0171|10.8718|4.9507|12
CHS|F9|252|17.4325|13.2817|0.0238|10.8718|6.5607|13
CHS|NK|1965|18.5333|12.4662|0.0305|10.8718|7.6615|14
CID|9E|243|0.7942|-2.7572|0.0|14.0555|-13.2613|1
CID|YX|224|2.2232|-6.4375|0.0491|14.0555|-11.8323|2
CID|MQ|1779|7.688|5.4244|0.023|14.0555|-6.3675|3
CID|UA|1725|8.5229|5.7774|0.0174|14.0555|-5.5326|4
CID|OH|1014|9.0848|4.2022|0.0316|14.0555|-4.9707|5
CID|F9|407|9.6929|7.6683|0.0246|14.0555|-4.3626|6
CID|G4|1466|11.2019|5.0784|0.0205|14.0555|-2.8536|7
CID|OO|2867|16.0296|14.0237|0.0171|14.0555|1.9741|8
CID|DL|565|16.6106|11.315|0.0159|14.0555|2.5551|9
CID|AA|1907|30.1227|24.7021|0.0325|14.0555|16.0672|10
CIU|OO|1084|23.5756|18.2786|0.012|23.5756|0.0|1
CKB|G4|293|51.6792|50.4334|0.0205|51.6792|0.0|1
CLE|AS|701|3.8516|0.7946|0.0171|10.2378|-6.3862|1
CLE|UA|12861|4.1783|-2.3134|0.0117|10.2378|-6.0595|2
CLE|YX|6584|4.913|-0.5592|0.0193|10.2378|-5.3248|3
CLE|WN|7494|7.8775|0.6907|0.0068|10.2378|-2.3603|4
CLE|OH|2239|9.322|7.0335|0.0138|10.2378|-0.9158|5
CLE|DL|4694|10.1947|0.2599|0.0036|10.2378|-0.0431|6
CLE|MQ|899|10.3715|3.7653|0.0089|10.2378|0.1337|7
CLE|B6|1245|10.4297|7.0964|0.0161|10.2378|0.1919|8
CLE|OO|2512|12.4952|6.1158|0.0076|10.2378|2.2574|9
CLE|NK|1509|12.6534|4.894|0.0212|10.2378|2.4156|10
CLE|AA|7039|13.1949|9.353|0.0155|10.2378|2.9571|11
