origin|month|delay_band|num_flights|avg_dep_delay|avg_arr_delay
APN|8|low|43|-8.05|-14.28
APN|8|medium|2|48.0|34.5
APN|9|high|4|143.25|138.25
APN|9|low|45|-8.87|-14.98
APN|9|medium|4|38.25|33.5
APN|10|high|4|149.0|144.75
APN|10|low|47|-9.68|-16.68
APN|10|medium|1|16.0|5.0
APN|11|high|3|143.33|131.0
APN|11|low|47|-7.49|-14.32
APN|11|medium|3|27.0|35.67
APN|12|high|8|179.75|178.25
APN|12|low|34|-6.62|-10.0
APN|12|medium|10|37.8|32.1
APN|12|unknown|2||
ASE|1|high|129|180.81|173.84
ASE|1|low|550|-3.68|-11.95
ASE|1|medium|184|32.97|25.74
ASE|1|unknown|54||
