origin|month|delay_band|num_flights|avg_dep_delay|avg_arr_delay
ACY|11|low|337|-7.93|-22.02
ACY|11|medium|24|32.5|19.75
ACY|11|unknown|4|0.0|0.0
ACY|12|high|20|95.65|85.75
ACY|12|low|221|-6.52|-15.47
ACY|12|medium|35|31.77|24.69
ACY|12|unknown|1|0.0|0.0
ADK|1|low|5|-18.0|-12.8
ADK|1|medium|2|29.5|42.0
ADK|1|unknown|7|0.0|0.0
ADK|2|low|10|-39.6|-42.8
ADK|2|unknown|1|0.0|0.0
ADK|3|high|1|103.0|103.0
ADK|3|low|12|-46.08|-40.25
ADK|4|high|1|225.0|217.0
ADK|4|low|8|-21.75|-27.0
ADK|4|medium|1|58.0|53.0
ADK|4|unknown|2|0.0|0.0
ADK|5|low|10|-34.3|-44.5
ADK|5|medium|3|20.33|16.33
ADK|6|low|12|-20.58|-16.33
ADK|6|unknown|1|0.0|0.0
ADK|7|low|9|-5.78|-11.67
ADK|7|medium|3|31.0|31.67
ADK|8|high|3|170.0|135.0
ADK|8|low|6|1.17|-0.67
ADK|8|medium|2|49.0|33.5
ADK|9|high|1|70.0|73.0
ADK|9|low|10|-1.3|-8.2
ADK|9|medium|4|31.0|16.5
ADK|10|low|9|-18.44|-22.33
ADK|10|medium|1|29.0|16.0
ADK|10|unknown|1|0.0|0.0
ADK|11|high|1|61.0|73.0
ADK|11|low|9|-12.0|-2.11
ADK|11|unknown|2|0.0|0.0
ADK|12|low|12|-21.67|-20.0
ADQ|1|high|13|86.0|77.85
ADQ|1|low|61|-14.38|-17.92
ADQ|1|medium|15|33.27|30.67
ADQ|1|unknown|5|0.0|0.0
ADQ|2|high|7|143.29|135.86
ADQ|2|low|71|-10.41|-14.7
ADQ|2|medium|12|32.0|25.75
ADQ|3|high|7|190.14|189.0
ADQ|3|low|75|-11.77|-14.17
ADQ|3|medium|9|24.67|18.78
ADQ|3|unknown|2|0.0|0.0
ADQ|4|high|2|168.5|165.0
ADQ|4|low|77|-11.69|-16.13
ADQ|4|medium|11|38.0|31.82
ADQ|4|unknown|4|0.0|0.0
ADQ|5|high|4|62.5|52.5
ADQ|5|low|107|-9.72|-12.0
ADQ|5|medium|7|41.86|38.0
ADQ|6|high|3|72.0|70.33
ADQ|6|low|103|-11.42|-11.31
ADQ|6|medium|7|37.57|33.57
ADQ|6|unknown|4|0.0|0.0
ADQ|7|high|9|169.44|169.89
ADQ|7|low|102|-7.45|-7.16
ADQ|7|medium|9|26.89|21.78
ADQ|7|unknown|1|0.0|0.0
ADQ|8|high|5|118.4|118.8
ADQ|8|low|115|-8.86|-8.77
ADQ|8|medium|12|24.83|22.08
ADQ|8|unknown|4|0.0|0.0
ADQ|9|high|1|87.0|89.0
ADQ|9|low|126|-12.3|-11.12
ADQ|9|medium|5|45.8|50.6
ADQ|10|high|4|126.5|128.0
ADQ|10|low|72|-5.22|-6.64
ADQ|10|medium|7|31.43|32.29
ADQ|10|unknown|2|0.0|0.0
ADQ|11|high|4|322.5|323.25
ADQ|11|low|67|-3.43|-1.42
ADQ|11|medium|24|26.67|28.96
ADQ|11|unknown|1|0.0|0.0
ADQ|12|high|4|167.25|169.75
ADQ|12|low|84|-7.14|-8.7
ADQ|12|medium|3|30.0|29.67
ADQ|12|unknown|4|0.0|0.0
AEX|1|high|25|324.6|340.88
AEX|1|low|175|-5.71|-5.98
AEX|1|medium|23|39.26|32.96
AEX|1|unknown|12|0.0|0.0
AEX|2|high|10|262.7|257.5
AEX|2|low|194|-6.19|-10.52
AEX|2|medium|12|34.58|35.08
AEX|2|unknown|2|0.0|0.0
AEX|3|high|12|156.5|146.83
AEX|3|low|203|-4.66|-10.83
AEX|3|medium|9|37.22|42.33
AEX|3|unknown|6|0.0|0.0
AEX|4|high|24|251.38|269.0
AEX|4|low|173|-5.41|-7.71
AEX|4|medium|14|33.5|32.43
AEX|4|unknown|6|0.0|0.0
AEX|5|high|33|184.64|179.97
AEX|5|low|177|-4.29|-5.55
AEX|5|medium|11|28.45|35.27
AEX|5|unknown|8|0.0|0.0
AEX|6|high|24|235.42|195.67
AEX|6|low|208|-5.24|-11.31
AEX|6|medium|18|26.33|18.0
AEX|6|unknown|3|0.0|0.0
AEX|7|high|30|230.37|226.8
AEX|7|low|187|-4.54|-8.97
AEX|7|medium|27|30.59|25.59
AEX|7|unknown|5|0.0|0.0
AEX|8|high|20|149.3|139.6
AEX|8|low|216|-5.64|-12.62
AEX|8|medium|12|31.08|25.5
AEX|8|unknown|1|0.0|0.0
AEX|9|high|22|180.14|181.68
AEX|9|low|208|-4.42|-8.18
AEX|9|medium|21|29.71|27.86
AEX|10|high|32|171.38|156.88
AEX|10|low|213|-6.56|-15.15
AEX|10|medium|17|33.71|26.0
AEX|11|high|19|183.05|175.53
AEX|11|low|219|-5.84|-12.45
AEX|11|medium|18|27.61|18.0
AEX|11|unknown|2|0.0|0.0
AEX|12|high|13|286.08|271.77
AEX|12|low|216|-4.31|-10.82
AEX|12|medium|27|31.67|32.33
AEX|12|unknown|3|0.0|0.0
AGS|1|high|80|175.5|170.46
AGS|1|low|237|-2.64|-7.19
AGS|1|medium|50|27.64|27.46
AGS|1|unknown|5|0.0|0.0
AGS|2|high|25|140.92|130.76
AGS|2|low|294|-3.3|-12.58
AGS|2|medium|36|30.28|21.06
AGS|3|high|28|195.18|189.79
AGS|3|low|322|-4.15|-8.66
AGS|3|medium|24|26.12|25.12
AGS|3|unknown|4|0.0|0.0
AGS|4|high|50|101.28|100.96
AGS|4|low|601|-3.06|-5.9
AGS|4|medium|117|31.52|27.21
AGS|4|unknown|1|0.0|0.0
AGS|5|high|53|177.02|173.21
AGS|5|low|385|-3.63|-7.63
AGS|5|medium|45|32.29|30.42
AGS|5|unknown|4|0.0|0.0
AGS|6|high|29|126.31|123.83
AGS|6|low|491|-4.83|-10.14
AGS|6|medium|39|29.23|24.41
AGS|7|high|86|183.06|181.58
AGS|7|low|381|-3.47|-5.49
AGS|7|medium|71|35.04|30.38
AGS|7|unknown|21|0.0|0.0
AGS|8|high|35|172.26|165.29
AGS|8|low|456|-4.62|-8.81
AGS|8|medium|49|32.27|25.94
AGS|8|unknown|7|0.0|0.0
AGS|9|high|50|190.54|190.12
AGS|9|low|461|-4.45|-7.08
AGS|9|medium|44|33.09|33.07
AGS|9|unknown|24|0.0|0.0
AGS|10|high|55|166.25|165.67
AGS|10|low|397|-3.88|-8.88
AGS|10|medium|48|28.31|22.94
AGS|10|unknown|4|0.0|0.0
AGS|11|high|19|147.21|143.84
AGS|11|low|429|-2.89|-7.26
AGS|11|medium|41|23.51|20.24
AGS|11|unknown|1|0.0|0.0
AGS|12|high|61|184.07|166.48
AGS|12|low|326|-1.41|-7.09
AGS|12|medium|57|32.95|26.7
AGS|12|unknown|4|0.0|0.0
AKN|4|low|11|-27.64|-25.55
AKN|5|low|30|-16.27|-13.33
AKN|5|medium|2|25.0|13.0
AKN|6|low|52|-12.88|-7.06
AKN|6|medium|3|22.67|23.33
AKN|7|high|2|80.0|81.0
AKN|7|low|57|-4.96|0.75
AKN|7|medium|8|33.88|42.38
AKN|8|low|53|-11.08|-8.06
AKN|8|medium|8|17.5|20.0
AKN|9|low|37|-17.11|-13.81
AKN|9|medium|8|31.25|28.88
ALB|1|high|81|136.8|142.25
ALB|1|low|1007|-3.79|-9.88
ALB|1|medium|171|27.93|28.91
ALB|1|unknown|28|0.0|0.0
ALB|2|high|49|124.39|120.18
ALB|2|low|1117|-3.6|-16.51
ALB|2|medium|117|30.24|19.05
ALB|2|unknown|4|0.0|0.0
ALB|3|high|103|185.66|179.68
ALB|3|low|1227|-2.92|-12.57
