origin|month|delay_band|num_flights|avg_dep|avg_arr|top_cause_1|top_cause_2|top_cause_3
ACY|8|low|208|-3.59|-9.09|weather|late_aircraft|carrier
ACY|8|medium|38|31.47|27.79|weather|late_aircraft|carrier
ACY|9|high|8|114.0|113.75|weather|carrier|late_aircraft
ACY|9|low|170|-5.73|-13.75|weather|carrier|late_aircraft
ACY|9|medium|16|28.94|23.38|weather|carrier|late_aircraft
ACY|10|high|6|112.5|97.83|late_aircraft|carrier|nas
ACY|10|low|184|-5.67|-15.45|late_aircraft|carrier|nas
ACY|10|medium|13|37.62|27.46|late_aircraft|carrier|nas
ACY|11|high|6|196.5|179.17|carrier|late_aircraft|nas
ACY|11|low|217|-7.74|-21.13|carrier|late_aircraft|nas
ACY|11|medium|16|34.38|20.25|carrier|late_aircraft|nas
ACY|12|high|17|98.94|89.29|late_aircraft|carrier|nas
ACY|12|low|147|-6.25|-15.26|late_aircraft|carrier|nas
ACY|12|medium|25|31.6|23.76|late_aircraft|carrier|nas
ADK|1|low|4|-18.25|-10.75|security|nas|none
ADK|1|medium|2|29.5|42.0|security|nas|none
ADK|3|high|1|103.0|103.0|late_aircraft|none|none
ADK|3|low|8|-42.88|-40.62|late_aircraft|none|none
ADK|4|high|1|225.0|217.0|late_aircraft|security|none
ADK|4|low|5|-22.0|-26.4|late_aircraft|security|none
ADK|4|medium|1|58.0|53.0|late_aircraft|security|none
ADK|5|low|7|-33.43|-42.57|late_aircraft|security|none
ADK|5|medium|2|22.0|17.0|late_aircraft|security|none
ADK|7|low|7|-7.0|-9.43|late_aircraft|security|nas
ADK|7|medium|2|37.5|36.5|late_aircraft|security|nas
ADK|8|high|1|170.0|135.0|late_aircraft|security|none
ADK|8|low|6|1.17|-0.67|late_aircraft|security|none
ADK|8|medium|2|49.0|33.5|late_aircraft|security|none
ADK|9|high|1|70.0|73.0|late_aircraft|security|nas
ADK|9|low|5|-0.8|-7.6|late_aircraft|security|nas
ADK|9|medium|2|31.0|16.5|late_aircraft|security|nas
ADK|10|low|7|-14.86|-18.14|carrier|none|none
ADK|10|medium|1|29.0|16.0|carrier|none|none
ADK|11|high|1|61.0|73.0|late_aircraft|nas|none
ADK|11|low|7|-13.43|-5.0|late_aircraft|nas|none
ADK|12|low|8|-19.38|-15.62|nas|none|none
ADQ|1|high|8|92.38|83.75|weather|carrier|late_aircraft
ADQ|1|low|37|-13.78|-16.86|weather|carrier|late_aircraft
ADQ|1|medium|8|30.62|27.75|weather|carrier|late_aircraft
ADQ|2|high|3|134.33|126.33|carrier|late_aircraft|weather
ADQ|2|low|50|-10.08|-13.96|carrier|late_aircraft|weather
ADQ|2|medium|5|33.8|28.6|carrier|late_aircraft|weather
ADQ|3|high|5|164.0|161.8|late_aircraft|weather|nas
ADQ|3|low|47|-11.47|-14.83|late_aircraft|weather|nas
ADQ|3|medium|7|26.86|22.43|late_aircraft|weather|nas
ADQ|4|high|2|168.5|165.0|carrier|late_aircraft|nas
ADQ|4|low|46|-11.63|-15.59|carrier|late_aircraft|nas
ADQ|4|medium|8|39.38|33.5|carrier|late_aircraft|nas
ADQ|5|high|2|62.5|52.5|late_aircraft|carrier|nas
ADQ|5|low|66|-9.06|-10.79|late_aircraft|carrier|nas
ADQ|5|medium|4|42.0|40.25|late_aircraft|carrier|nas
ADQ|6|high|2|76.5|74.5|carrier|late_aircraft|nas
ADQ|6|low|66|-12.14|-11.8|carrier|late_aircraft|nas
ADQ|6|medium|5|36.2|31.8|carrier|late_aircraft|nas
ADQ|7|high|6|210.0|212.0|late_aircraft|carrier|nas
ADQ|7|low|66|-7.03|-6.95|late_aircraft|carrier|nas
ADQ|7|medium|6|24.67|19.0|late_aircraft|carrier|nas
ADQ|8|high|3|100.0|100.0|late_aircraft|carrier|security
ADQ|8|low|73|-8.38|-8.67|late_aircraft|carrier|security
ADQ|8|medium|8|27.38|24.25|late_aircraft|carrier|security
